"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.91138678044017e-10,0.499026702145056,0.624,0.376,4.7391554012005e-06,"4","Hnrnpd"
2.92637154735873e-10,0.307005976732519,0.256,0.08,4.76354760479054e-06,"4","Psmc3ip"
3.22541459562223e-10,0.38189861166519,0.451,0.209,5.25032987875387e-06,"4","Ddx21"
3.23412193401065e-10,0.466041768291651,0.94,0.873,5.26450368418254e-06,"4","Snrpe"
3.27780333799528e-10,0.506563816008681,0.88,0.723,5.33560827358872e-06,"4","Srsf7"
3.43742375027191e-10,0.427928733928183,0.391,0.163,5.59543838069261e-06,"4","Slc7a8"
3.44644309577039e-10,0.514802172669789,0.677,0.374,5.61012007129505e-06,"4","Cd24a"
3.45738330894519e-10,0.577437518022947,0.594,0.362,5.62792855030098e-06,"4","Slc44a1"
3.61758763289898e-10,0.361440021771586,0.308,0.112,5.88870914883296e-06,"4","Gsc"
4.00647895316621e-10,0.432096368143412,0.406,0.173,6.52174643996396e-06,"4","Fzd1"
4.8512531465806e-10,0.305999731190377,1,1,7.89686987200389e-06,"4","Rps27"
5.12426987255884e-10,0.706381999942544,0.564,0.341,8.34128649855128e-06,"4","Pcna"
5.15429995607495e-10,0.290651497535138,1,1,8.39016946849881e-06,"4","Rpl24"
6.00109109894439e-10,0.291659714903196,0.308,0.109,9.76857609086168e-06,"4","Pianp"
7.38029336483374e-10,0.992300139876093,0.361,0.153,1.20136415392764e-05,"4","H19"
8.49544940879663e-10,0.447751065833693,0.474,0.236,1.38288925476392e-05,"4","Bcl11a"
